Año,Trimestre,Base Monetaria ,M1,M2,Inflacion,tasa_interes,Tipo_cambio
2004,T2,276196758.3333333,804440451.1166667,2303562734.306667,0.27666666666666667,0.27666666666666667,11.355673437500002
2004,T3,279974965.6666667,834886143.6666666,2312383610.6633334,0.34,0.34,11.37338307692308
2004,T4,306740637.3333333,847789429.1333333,2383983493.6,0.27,0.27,11.310659374999998
2005,T1,311914616.3333333,919444780.7866668,2469052185.96,0.35000000000000003,0.35000000000000003,11.057888333333329
2005,T2,309610811.6666667,891088097.1233333,2468866211.15,0.20666666666666667,0.20666666666666667,10.923324615384614
2005,T3,311276413.3333333,923738184.0799999,2529483992.386667,0.27666666666666667,0.27666666666666667,10.790634848484851
2005,T4,341224214.3333333,940550337.6933333,2639190700.36,0.24333333333333332,0.24333333333333332,10.7992484375
2006,T1,351405328.6666667,1033548135.1066666,2856385527.4333334,0.3166666666666667,0.3166666666666667,10.690036065573771
2006,T2,361632115.3333333,1041020970.5300001,3020742996.873333,0.26,0.26,11.119864516129033
2006,T3,366417502.3333333,1083019359.6466668,3022564659.58,0.3266666666666667,0.3266666666666667,10.91475384615385
2006,T4,404587435.6666667,1086484355.9733334,3008957835.9933333,0.2966666666666667,0.2966666666666667,10.884841935483868
2007,T1,406455049.0,1164771090.4333334,3181049615.036667,0.3766666666666667,0.3766666666666667,10.986185000000008
2007,T2,405533664.3333333,1134383896.3466666,3193097553.736666,0.22666666666666666,0.22666666666666666,10.873447619047615
2007,T3,410476659.3333333,1169611724.56,3274198988.0333333,0.35000000000000003,0.35000000000000003,10.960653846153848
2007,T4,447871581.3333333,1196758228.1866667,3373494938.633333,0.31333333333333335,0.31333333333333335,10.891220634920632
2008,T1,451742778.6666667,1290300004.7833333,3557698155.513334,0.45,0.45,10.893788524590164
2008,T2,448143863.6666667,1232760755.5233333,3584993479.6966667,0.4466666666666666,0.4466666666666666,10.652028571428572
2008,T3,461571902.6666667,1237048881.92,3646681880.1766663,0.4633333333333334,0.4633333333333334,10.639467187500001
2008,T4,520109692.6666667,1285910551.4866667,3743516342.616667,0.43999999999999995,0.43999999999999995,12.370551562500001
2009,T1,541946540.6666666,1439908592.49,3981033743.0866666,0.4766666666666666,0.4766666666666666,14.03655333333333
2009,T2,535189836.6666667,1401198433.9399998,3957943679.693333,0.29,0.29,13.418703125
2009,T3,531781260.0,1411607901.256667,3952307252.6433334,0.2866666666666667,0.2866666666666667,13.31838923076923
2009,T4,571402219.3333334,1449078060.5666668,3954609946.9599996,0.31,0.31,13.248211290322578
2010,T1,593929542.6666666,1559683207.926667,4102414992.9233336,0.5033333333333333,0.5033333333333333,12.711480701754384
